texto;";";classe
 Alto consumo de laticínios na infância aumenta expectativa de vida, diz estudo Pesquisa encontrou, 65 anos depois, crianças que haviam sido alvo de estudo nos anos 30.;";";alegria
 'Rota do açúcar' integra turismo de Alagoas, Pernambuco e Paraíba Trajeto passa por 21 cidades e resgata história da civilização do açúcar. Engenhos, Quilombo dos Palmares e degustação de cachaça são atrativos.;";";alegria
 Justiça determina transferência de Marcinho VP para o Rio Além dele, outros seis presos também devem voltar ao estado. Governo do Rio de Janeiro pode recorrer da decisão.;";";alegria
 Lucro da Telmex Internacional cresce 126% no 2º trimestre Variação cambial favoreceu resultado da companhia. Número ficou acima do esperado por analistas.;";";alegria
 Campeãs da 'Corrida das Galinhas' deixam pegadas em calçada da fama Ave batizada de Ana Maria ficou em primeiro lugar na disputa. Galinha com melhor fantasia estava como Maya, de 'Caminho das Índias'.;";";alegria
 1,7 milhão já trocaram de operadora sem mudar número de telefone Dados foram divulgados nesta segunda-feira (27) pela ABR Telecom. Total de solicitações de portabilidade numérica já é de 2,3 milhões.;";";alegria
 Risco de câncer cai à metade com 30 minutos de exercícios ao dia, diz estudo Universidades finlandesas avaliaram homens de 42 a 61 anos de idade. Trabalho foi publicado no 'British Journal of Sports Medicine'.;";";alegria
 Justiça mantém decisão que tornou delegado Protógenes réu por violar sigilo MPF pediu que juiz não aceitasse denúncia antes de ouvir Protógenes. Delegado da PF é acusado de vazar informações da Satiagraha.;";";alegria
 Zoológico britânico apresenta filhote de elefante asiático Bebê nasceu há seis dias em Bedfordshire, com 126 kg. Ele ainda não tem nome.;";";alegria
 Videogames entram na medicina e tratam de depressão a tetraplegia Jogos ajudam a 'treinar' o organismo a funcionar corretamente. Resultados são mais rápidos, e pacientes sentem menos dor.;";";alegria
 Seis mil quilômetros de ferrovias estão em construção, diz Lula Investimentos somam R$ 13,88 bilhões até 2010, informou coluna semanal. Presidente também falou de biocombustíveis e segurança.;";";alegria
 Muçulmana deficiente visual anda com cavalo-guia nos Estados Unidos Mona não pode usar cão, cuja saliva é considerada impura no Islã. Então, a revisora de textos em braile adotou Cali, um minicavalo.;";";alegria
 Lucro do Deutsche Bank cresce mais de 60% no trimestre Banco alemão lucrou 1,074 bilhão de euros no período. Resultados foram 'muito satisfatórios', disse presidente da instituição.;";";alegria
 DEM protocola no TCU pedido de análise do acordo Brasil-Paraguai sobre Itaipu Representação é assinada pelo deputado Paulo Bornhausen (SC). Partido pede 'uma minuciosa análise dos termos do pacto'.;";";alegria
 Ônibus espacial Endeavour inicia volta para a Terra Nave desacoplou às 14h26 da Estação Espacial Internacional (ISS). Tripulação instalou equipamentos de pesquisa no complexo orbital.;";";alegria
 Laboratório do PR passa a realizar exames da nova gripe, diz governo Resultados de testes de pacientes do estado devem sair em 2 dias. Secretário da Saúde disse que 'aulas devem seguir normalmente'.;";";alegria
 Gerdau defende aumento do investimento público no Brasil Empresário participa de evento sobre competitividade em Brasília. Segundo ele, governo deve investir pelo menos 10% do PIB.;";";alegria
 Lula diz que Senado tem 'maioridade para resolver seu problema' Presidente diz que desgaste 'mata as pessoas e a instituição'. Se PMDB e PT tiverem 'juízo', haverá grande aliança em 2010, disse.;";";alegria
 Obama marca 'cervejada dos brigões' para quinta-feira na Casa Branca Professor negro de Harvard e policial branco são pivôs do caso. Com convite a envolvidos, presidente tenta encerrar polêmica racial.;";";alegria
 Irã liberta 140 oposicionistas detidos após eleições Eles foram presos durante protestos contra reeleição do presidente.;";";alegria
 Brasil já saiu da crise financeira, diz Paulo Bernardo Segundo o ministro do Planejamento, governo está otimista. Bernardo participou do 7º Congresso Internacional Brasil Competitivo.;";";alegria
 Corante de doces e bebidas ajuda a tratar lesão da medula em ratos BBG recuperou parte dos movimentos das patas. Substância deixou animal temporariamente azul.;";";alegria
 Tesouro dos EUA defende maior peso de emergentes em organismos globais Timothy Geithner participa de reunião com autoridades chinesas. Medidas para favorecer o livre comércio também estão na pauta.;";";alegria
 PSB do Tocantins convida Vanderlei Luxemburgo para ingressar no partido Luxemburgo 'ficou de pensar', disse dirigente do partido no estado. Treinador diz que se concentrará no Santos e não falará sobre política.;";";alegria
 Lula descarta reduzir ritmo de obras no São Francisco devido à crise Presidente disse que foi criado 'turno adicional' para gerar empregos. Ele também disse que governo está aumentando investimento no PAC.;";";alegria
 Magna melhora oferta pela Opel, diz fonte do governo alemão Fabricante canadense de autopeças quer a filiar europeia da GM. Investimento na aquisição seria de US$ 713 milhões.;";";alegria
 Codefat aprova linha de crédito R$ 200 milhões para taxistas, diz Lupi Recursos são provenientes do Fundo de Amparo ao Trabalhador (FAT). Linha para revendedoras de carros está praticamente esgotada, diz.;";";alegria
 Lula critica oposição e diz que vai começar a viajar mais pelo país 'Oposição não tem interesse em que o país possa melhorar', disse. Presidente disse que vai viajar mais para inaugurar obras do PAC.;";";alegria
 Moratória da Soja na Amazônia é renovada e quer ampliar ações Empresas boicotam grão produzido em áreas desmatadas depois de 2006. Acordo firmado com ONGs e MMA terá validade até julho de 2010.;";";alegria
 EUA e China assinam memorando sobre mudança climática Países querem avançar na conferência climática da ONU em Copenhague. Nenhum detalhe do documento foi divulgado.;";";alegria
 Reserva no Xingu forma nova turma de bombeiros indígenas Índios de MT combatem incêndios florestais em suas terras. No ano passado, brigada reduziu queimadas em 80%.;";";alegria
 Documento da diretoria do FMI vê 'sinais de melhora' na economia brasileira Para Fundo, país está em 'posição favorável' diante da crise. País ainda pode afrouxar políticas fiscal e monetária, caso necessário.;";";alegria
 Japão estreia serviço de doações on-line para políticos Serviço chamado 'Love Japan' é lançado a um mês das eleições no país. Iniciativa pretende incentivar o aumento de contribuições individuais.;";";alegria
" Jornalista Merval Pereira recebe prêmio da Universidade de Columbia"" Colunista do jornal """"""""O Globo"""""""" receberá medalha e um prêmio de US$ 5 mil. Premiação acontecerá em Nova York no dia 14 de outubro.""""""""""";";";alegria
 Brasil terá crescimento 'surpreendente' no próximo ano, diz Lula Em Campina Grande, presidente disse que país está saindo da crise. Oposição torce para Brasil não 'dar certo' para ter chance eleitoral, disse.;";";alegria
 Hospital de campanha começa a funcionar em Caxias do Sul Unidade será usada para pacientes sem sintomas graves. Postos de saúde do Rio Grande do Sul ficam aberto até as 22h.;";";alegria
 EUA e China se comprometem a estender diálogo econômico Países tiveram encontro sobre economia, em Washington. Americanos pediram liberalização do setor financeiro aos chineses.;";";alegria
 Brasil e Venezuela retomam conversas sobre parceria em refinaria Petrobras descartou contrapartida de investimento na Venezuela. Projeto inicial previa participação venezuelana de 40% no projeto.;";";alegria
 Lula envia mensagens de apoio à família de Massa Comunicação foi enviada no domingo, um dia após acidente do piloto. Mensagens foram enviadas pela embaixada do Brasil na Hungria.;";";alegria
 Prefeitura de SP decide adiar retorno às aulas na rede municipal Estudantes voltarão às escolas no dia 17 de agosto. Medida foi tomada por causa da nova gripe.;";";alegria
 Aécio Neves defende reforma profunda no Senado Para ele, superação da crise não depende de 'afastamento de uma pessoa'. PSDB protocolou três representações contra Sarney no Conselho de Ética.;";";alegria
 Definição sobre candidatura de Ciro ao governo de SP pode sair até mês que vem PSB quer definir situação eleitoral nos estados até o final de agosto. Segundo cúpula do partido, pesquisas animam Ciro Gomes e o PSB.;";";alegria
 Petrobras afirma que perfuração de poços do pré-sal tem 87% de sucesso Nota foi divulgada em resposta a reportagem do jornal 'Valor'. Estatal diz que, na Bacia de Santos, taxa de êxito foi de 100%.;";";alegria
 Jornalista Merval Pereira ganha prêmio da Universidade de Columbia Faculdade de jornalismo é uma das mais respeitadas do mundo. Além do brasileiro, blogueira cubana recebeu menção especial.;";";alegria
 Comitê do Senado aprova Sonia Sotomayor para Suprema Corte dos EUA Hispânica teve apoio de 12 democratas e um republicano. Agora, seu nome precisa passar no plenário do Senado.;";";alegria
 Sarney visita José Alencar no hospital em SP Segundo assessoria de Sarney, Alencar quer retomar tratamento nos EUA. Presidente do Senado acompanha sua mulher, também internada em SP.;";";alegria
 Juro bancário de pessoas físicas é o mais baixo desde dezembro de 2007 Em junho, juros médios para pessoas físicas somaram 45,6%, diz BC. BC avalia que ainda há 'bastante espaço' para queda dos juros bancários.;";";alegria
 Escolas municipais do Rio voltarão às aulas normalmente Secretaria informou que nova gripe não alterou data de retorno das férias. Aulas serão reiniciadas no dia 3 de agosto, conforme calendário escolar.;";";alegria
 Vacinação deve chegar à metade da população dos EUA Grávidas devem ser as primeiras vacinadas contra a nova gripe nos EUA. País é o mais afetado pela pandemia do vírus H1N1.;";";alegria
 Presidente Lula quer nova lei de licitações Segundo ele, país precisa destravar infraestrutura. Presidente voltou a dizer que deixará novo PAC para o sucessor.;";";alegria
 Aprende-se mais com o sucesso do que com o erro, indica estudo Testes de certo e errado foram aplicados a macacos em laboratório. Reação neuronal é mais forte quando teste anterior rendeu recompensa.;";";alegria
 Lula presenteia presidente da Nigéria com bola autografada por Pelé Umaru Musa Yar´Adua faz visita oficial ao Brasil. Encontro entre presidentes foi no Palácio do Itamaraty.;";";alegria
 Grávidas devem ser as primeiras vacinadas contra a nova gripe nos EUA Recomendação é de especialistas que assessoram o governo americano. ;";";alegria
 Governo estuda participação da Petrobras em todas as concessões do pré-sal Até três projetos sobre do tema serão enviados ao Congresso, diz Lobão Ainda não há data para envio das propostas.;";";alegria
 Ônibus espacial Endeavour pousa na sexta-feira pouco antes do meio-dia Nova inspeção vai checar eventuais danos ao escudo térmico da nave. Após erro de abordagem, cargueiro russo se acopla à ISS manualmente.;";";alegria
 Planta de 234 anos troca de vaso em Londres Ela é considerada a mais antiga planta em vaso do mundo. Transplante ocorreu no Royal Botanical Gardens.;";";alegria
 Cientistas descobrem por que balançamos os braços ao caminhar Segurar os braços ao andar aumenta em 12% gasto metabólico. Balançá-los ajuda a controlar movimento giratório do corpo.;";";alegria
 Lula sanciona lei que regulamenta profissão de motoboy e mototaxista Para ministro, governo não pode fechar os olhos para a atividade. Profissionais terão que passar por curso específico.;";";alegria
 Conselho acelera tramitação de inquéritos de crimes contra União Meta é economizar tempo e desafogar as varas federais. A cada ano, perde-se de três a quatro meses com burocracia em inquéritos.;";";alegria
 Carpinteiros reutilizam restos de madeira em móveis na Amazônia Fabricantes em Rondon do Pará fazem peças com resíduos de serrarias.;";";alegria
 Manejo florestal inspira projetos e desperta ceticismo na Amazônia Ambientalistas apoiam iniciativas, mas críticos questionam viabilidade.;";";alegria
 Sandra Annenberg sai da quarentena após contrair nova gripe Exames confirmaram diagnóstico nesta terça-feira (28). Jornalista apresentou sintomas da doença desde dia 22 de julho.;";";alegria
 Perspectivas para atividade econômica seguem melhorando, avalia Copom Há 'sinais consistentes' de recuperação da confiança, afirma. Copom destaca ainda recuperação do crédito para pessoa física.;";";alegria
 Amigos de brasileiro sumido na África buscam doações na internet Eles tentam arrecadar fundos para ajudar nas buscas pelo economista. Blog “Ajude Gabriel Buchmann” já atraiu mais de 200 membros.;";";alegria
 Opositores iranianos participarão de homenagem a vítimas de confrontos Decisão desafia ordem de religiosos para evitar aglomerações. Mãe de Neda, morta nos confrontos, convidou Moussavi para cerimônia.;";";alegria
 Frio não afasta alunos de piscina em Curitiba Piscinas aquecidas recebem 800 pessoas por dia, segundo prefeitura. Professor diz que alunos passaram por 'adaptação' no início das atividades.;";";alegria
 Rottweiler participa de trabalho de demolição de prédio em SC Animal passou por destroços para transportar cabo de aço. Cão da Polícia Militar, não por acaso, se chama Hulk.;";";alegria
 Airbus financiará operação de buscas das caixas-pretas do voo 447, diz jornal Empresa quer estender operação por mais três meses. Airbus está disposta a gastar até € 20 milhões (R$ 53,2 milhões).;";";alegria
 ‘Brasil poderá ter uma presidente mulher’, diz Dilma Declaração foi dada após encontro com Michelle Bachelet em SP. ‘A sociedade está madura para isso’, disse a ministra.;";";alegria
 Navio francês retoma as buscas das caixas-pretas do voo 447 'Pourquoi pas' está na área do desastre e vasculha fundo do mar. Sonar e submarinos ajudam na procura.;";";alegria
 Lucro da Colgate-Palmolive aumenta 13,7% no trimestre Empresa teve lucro líquido de US$ 561,6 milhões no período. Vendas mundiais caíram 5,5%, para US$ 3,745 bilhões.;";";alegria
 Para Bernardo, economia pode ajudar eventual campanha de Dilma a 2010 'Melhor forma de ganhar a eleição é fazer um bom governo', disse ministro. Governo terá que reforçar orçamento para pagar o Bolsa-Família, afirmou.;";";alegria
 Em termos de contas públicas, 'pior já passou', diz ministro A partir de agora, resultado das contas deve melhorar, disse Bernardo. Governo terá que reforçar orçamento para pagar o Bolsa-Família, afirmou.;";";alegria
 Tesouro Nacional capta mais US$ 25 milhões no mercado asiático Na quarta, foi anunciada emissão de US$ 500 mi nos EUA e Europa. Oferta foi estendida ao mercado asiático na madrugada desta quinta.;";";alegria
 Indústria do Japão tem maior crescimento em 56 anos Setor cresceu 8,3% no 2º trimestre na comparação com o anterior. Japão entrou em recessão no segundo trimestre de 2008.;";";alegria
 Federal do Ceará terá curso de jornalismo só para sem-terra Com 60 vagas, graduação começa a ser oferecida em janeiro. Em junho, Justiça decidiu pelo fim de curso de direito na Federal de Goiás.;";";alegria
 Loteria italiana acumula prêmio recorde de 110 milhões de euros Prêmio equivale a R$ 291 milhões. Sorteio está há várias semanas sem ganhador.;";";alegria
 Juíza manda soltar mulher de boxeador achado morto em Pernambuco Segundo TJ, delegado considera que suspeita não teve ligação com morte. Ela deve deixar prisão na tarde desta quinta-feira.;";";alegria
 Congresso de Honduras adia resposta sobre plano para encerrar crise política Setores da sociedade serão consultados antes, diz chefe do parlamento. Proposta prevê volta do presidente deposto, anistia e eleições antecipadas.;";";alegria
 Após cirurgia, Severino Cavalcanti terá alta de UTI, diz hospital Ex-presidente da Câmara foi submetido a um implante da válvula aórtica. Boletim informa que ele pode deixar hospital na próxima semana.;";";alegria
 Lula defende aliança comercial entre países emergentes ‘As chances de ficarmos ricos são mais fáceis se estivermos juntos’, disse. Presidente pede mais ousadia a empresários durante evento em São Paulo.;";";alegria
 Estudo indica que chimpanzés são capazes de apreciar música Pesquisa com filhote revelou que animal prefere ouvir música harmoniosa.;";";alegria
 Justiça dos EUA manda soltar jovem afegão prisioneiro em Guantánamo Mohammed Jawad havia sido preso em 2002. Advogados dizem que ele tinha 12 anos à época, mas Pentágono nega.;";";alegria
 Tony Blair vai depor em investigação britânica sobre a Guerra no Iraque Ex-premiê apoiou a invasão americana ao país. Ele se disse disposto a cooperar com a investigação.;";";alegria
 Lula e presidente do Chile, Michelle Bachelet, firmam acordos em SP Acordo prevê cooperação entre Receita e Serviço Aduaneiro do Chile. Lula e Michelle Bachelet participam de encontro empresarial na Fiesp.;";";alegria
 Cientistas descobrem espécie rara de pássaro careca Búlbulo de Cara Pelada foi localizado no Laos. É o 1º achado de ave canora registrado na Ásia em um século.;";";alegria
 Fotógrafa 'ensina' ratos a posarem com instrumentos musicais Eles 'posaram' em troca de comida, diz holandesa.;";";alegria
 Procon-SP multa 20 empresas por descumprir regras de telemarketing Punições totalizam mais de R$ 10 milhões, segundo o órgão. Novas regras para SACs entraram em vigor em dezembro.;";";alegria
 Lula sanciona lei que dá prioridade em processos a pessoa com mais de 60 anos Nova regra vale para tramitação de processos administrativos e judiciais. Legislação ainda prevê prioridade a portador de doença grave e deficiência.;";";alegria
 Prestadoras de serviços terão de enviar declaração anual de quitação de débitos Obrigatoriedade consta na lei 12007, publicada no DO desta quinta-feira. Com isso, consumidor não terá mais de guardar recibos de anos anteriores.;";";alegria
 Mães lactantes com nova gripe devem continuar amamentando Orientação é da Breastfeeding Network, que defende a lactação natural. 'Se o bebê estiver com gripe, então o leite materno é o alimento ideal.';";";alegria
 Novo terremoto volta a sacudir região central da Itália Tremor ocorreu na região de Abruzzos. Área atingida fica próxima à cidade de L'Aquila.;";";desgosto
 Berlim e Hamburgo vivem noite de distúrbios Dois mil soldados foram deslocados para controlar manifestações. Cerca de 30 pessoas foram detidas.;";";desgosto
 Mulher de Sarney será operada nesta madrugada em São Paulo Dona Marly sofreu queda e teve fraturas no ombro esquerdo. Sarney vai ficar no hospital até alta da mulher, disse assessoria.;";";desgosto
 No Paraguai, Lula e Lugo anunciam acordo sobre energia de Itaipu Brasil vai pagar US$ 360 milhões ao ano, o triplo do que paga. Presidente brasileiro considerou acordo como 'histórico'.;";";desgosto
 Substituto de Fausto De Sanctis libera venda de gado do Opportunity Antes de sair de férias, juiz do caso determinou sequestro de gado. PF aponta lavagem de dinheiro do grupo de Daniel Dantas em fazendas.;";";desgosto
 Médicos em Guantánamo violam ética profissional, diz relatório Relatório critica Pentágono por contar com a ajuda de médicos em interrogatórios.;";";desgosto
 Vírus da nova gripe ainda afeta mais as crianças, diz agência da ONU Mas número de casos cresce entre idosos, segundo a OMS. Agência reafirma que a vacina deve estar pronta para uso em setembro.;";";desgosto
 Nova gripe reduz em 70% turismo brasileiro em Bariloche Segundo Câmara de Turismo da cidade, perdas devem ser de US$ 40 milhões.;";";desgosto
 Homens vestidos de palhaço assaltam papelaria em Salvador Eles estariam distribuindo panfletos de campanha de combate ao câncer. Durante fuga, troca de tiros com a polícia deixou três mortos.;";";desgosto
 TRF tem 48h para apresentar medidas tomadas para apurar grampos de Sarney Prazo estabelecido pelo corregedor da Justiça Federal termina nesta terça. Diálogos mostram pedido de vaga para namorado da neta de José Sarney.;";";desgosto
 Fernando Sarney pede providências sobre vazamento de diálogos Advogado protocolou pedido na Procuradoria da República no Maranhão. Eduardo Ferrão também deve entrar com medidas no STF e na PGR.;";";desgosto
 Governo avalia que nem toda bancada do PT quer afastamento de Sarney Para ministro José Múcio, posição é apenas de alguns senadores petistas. PT emitiu nota após gravações mostrarem elo entre Sarney e atos secretos.;";";desgosto
 2,1 mil servidores foram expulsos do governo desde 2003 Expulsões ocorreram devido a envolvimento em atos de corrupção. CGU diz que 'cultura de impunidade' está mudando.;";";desgosto
 Japão executa três condenados à morte Um dos enforcados era chinês. Eles haviam sido condenados por assassinatos e roubos.;";";desgosto
 Praticantes de caminhada reclamam das pistas em Belo Horizonte Vias mal conservadas representam riscos para população. Secretaria de Esportes diz que problemas serão solucionados.;";";desgosto
 Bebê nasce infectado com nova gripe na Tailândia O bebê nasceu prematuro no sábado (25). A mãe ainda continua muito doente no hospital.;";";desgosto
 Fiscais destroem 48 fornos de carvão ilegais no Pará Agentes ainda flagraram floresta sendo desmatada. Imagens de satélite deram início a ação.;";";desgosto
 Rapaz é preso com 53 CNHs falsas em Campo Grande Segundo a polícia, ele vendia os documentos por até R$ 300. Ele teria dito à polícia que aprendeu a fazer a falsificação pela web.;";";desgosto
 Parentes e amigos de brasileiro desaparecido fazem manifestação no Rio Economista desapareceu quando fazia trilha do monte Mulanje, na África. Família pede mais recursos nas buscas ao carioca.;";";desgosto
 Congresso de Honduras cria comissão para decidir sobre anistia a Zelaya Medida é proposta do mediador da crise política pós-golpe militar. Presidente deposto continua acampado na fronteira tentando voltar.;";";desgosto
 Pandemia da gripe é moderada, e maioria de pacientes tem sintomas leves, diz OMS Vírus segue se propagando principalmente entre crianças e adolescentes. OMS negocia com governo sul-africano medidas preventivas para a Copa.;";";desgosto
 Assalto a banco deixa 8 mortos em Bagdá Polícia do Iraque suspeita que autores sejam insurgentes. Cinco das vítimas dormiam durante o ataque.;";";desgosto
 Militantes fazem barricada em torno de casa de líder na Nigéria Extremistas islâmicos autodenominados Talibã deixaram mais de cem mortos em ataques contra civis e policiais no fim de semana.;";";desgosto
 Líder do PSDB analisa denúncia contra o presidente do Conselho de Ética Paulo Duque teria empregado um assessor no colegiado, diz jornal. Ele é o mesmo que afirmou que a opinião pública era ‘volúvel’.;";";desgosto
 Contas do governo têm o segundo mês consecutivo de déficit em junho Com crise internacional, arrecadação tem recuado em 2009. No primeiro semestre, superávit cai para R$ 18,56 bilhões.;";";desgosto
 Tuma diz que adiar reunião do Conselho de Ética é ‘impraticável’ Senador visitou o vice-presidente, José Alencar, em hospital em SP. 'O Senado não pode morrer', disse o corregedor da Casa.;";";desgosto
 Segredo de Justiça ‘praticamente não existe no Brasil’, diz Tarso Ele falava sobre divulgação de gravações de conversas da família Sarney. Ministro critica STF por permitir a advogados acesso a todos os inquéritos.;";";desgosto
 Duque é acusado de empregar assessor no Conselho de Ética Assessor seria do senador e não do conselho, segundo chefe de gabinete. Segundo jornal, advogado mora no Rio e não dá expediente no órgão.;";";desgosto
 Polícia do Senado não consegue localizar Agaciel para dar continuidade a inquérito Investigação sobre nomeação indevida será prorrogada por 60 dias. Denúncia foi apresentada pelo senador Demóstenes Torres (DEM-GO).;";";desgosto
 Após 19 anos, representantes do setor produtivo abandonam Codefat Representante do CNS foi escolhido para presidência do Codefat. CNI, CNA, CNC e Consif discordaram e abandonaram o Conselho.;";";desgosto
 Por etanol, senador dos EUA ameaça adiar aprovação de embaixador no Brasil Shannon, indicado por Obama, defende fim da tarifa ao álcool do Brasil. Grassley, senador republicano, é ferrenho defensor da cobrança.;";";desgosto
 Inmet registra julho mais chuvoso dos últimos 19 anos em Curitiba Até terça-feira, foram registrados 166,5 mm. Permanência de frentes frias causou aumento nas precipitações.;";";desgosto
 Lucro da BP cai 53% no segundo trimestre Ganho líquido no período foi de US$ 4,385 bilhões. Recuo é resultante dos menores preços do petróleo.;";";desgosto
 Governo do Irã proíbe homenagem a mortos em protestos Dois ex-candidatos presidenciais queriam realizar evento na quinta-feira.;";";desgosto
 Motocicleta-bomba mata 8 no Iraque Ataque ocorreu próximo a cinema e mercado em Bagdá. Ficaram feridas 13 pessoas, segundo a polícia.;";";desgosto
 Morte de cão emociona alunos e funcionários da UFSC Catatau, o ‘UFSCão’, foi encontrado morto por suspeita de envenenamento. Mascote participava de manifestações a festas no campus.;";";desgosto
 Governo do RJ informa que 3 presos de Catanduvas chegarão ao Rio nesta terça Informação é da Secretaria de Administração Penitenciária. Até dezembro, sete presos serão transferidos para o Rio.;";";desgosto
 Governo mantém alerta máximo contra incêndios na Espanha Fogo já matou ao menos 9 pessoas na Espanha, diz mídia. Grécia também sofre com fogos e temperaturas altas.;";";desgosto
 USP cancela feira de profissões por causa da nova gripe Evento seria realizado entre os dias 4 e 6 de agosto. Instituição ainda não tem previsão de uma nova data.;";";desgosto
